FSR1,FSR2,FSR3,FSR4,Position
626.77,590.62,614.07,492.92,Unknown
622.86,570.1,727.41,581.83,Ideal Position
625.79,572.06,717.64,581.83,Ideal Position
628.72,582.8,732.29,542.75,Ideal Position
630.68,589.64,715.68,595.51,Ideal Position
617.98,575.96,750.85,634.59,Ideal Position
629.7,584.76,680.51,558.38,Ideal Position
601.37,590.62,765.51,625.79,Ideal Position
0.49,601.37,0.49,868.1,Leaning Right
0.49,550.56,0.49,845.63,Unknown
0.49,505.62,0.49,841.72,Unknown
0.49,576.94,0.49,827.06,Unknown
0.49,590.62,0.49,825.11,Unknown
0.49,596.48,0.49,852.47,Unknown
342.45,597.46,0.49,863.21,Unknown
0.49,606.25,0.49,863.21,Leaning Right
0.49,606.25,0.49,861.26,Leaning Right
0.49,573.03,0.49,869.08,Unknown
0.49,600.39,0.49,783.1,Unknown
602.34,601.37,337.57,576.94,Unknown
644.36,533.95,882.76,0.49,Unknown
641.43,589.64,833.9,0.49,Unknown
633.61,584.76,850.51,0.49,Unknown
623.84,590.62,859.31,0.49,Unknown
631.66,591.6,851.49,0.49,Unknown
638.5,544.7,876.89,0.49,Unknown
631.66,0.49,918.91,0.49,Leaning Left
615.05,352.22,938.45,0.49,Leaning Left
449.93,469.47,757.69,721.54,Forward Leaning
0.49,550.56,169.52,851.49,Unknown
0.49,0.49,835.86,0.49,Unknown
359.06,197.85,820.22,726.43,Forward Leaning
48.36,0.49,842.7,634.59,Forward Leaning
0.49,0.49,837.81,662.92,Forward Leaning
173.42,0.49,840.74,672.69,Forward Leaning
21.01,0.49,840.74,669.76,Forward Leaning
0.49,0.49,841.72,640.45,Forward Leaning
545.68,389.35,865.17,774.3,Unknown
625.79,575.96,856.38,721.54,Ideal Position
617.98,581.83,841.72,746.95,Ideal Position
623.84,579.87,834.88,687.35,Ideal Position
622.86,586.71,831.95,704.93,Ideal Position
619.93,586.71,837.81,712.75,Ideal Position
621.89,584.76,843.67,711.77,Ideal Position
620.91,587.69,835.86,706.89,Ideal Position
625.79,585.74,846.6,695.16,Ideal Position
622.86,586.71,845.63,701.03,Ideal Position
617.98,576.94,821.2,701.03,Ideal Position
620.91,588.67,830.97,717.64,Ideal Position
626.77,591.6,832.93,688.32,Ideal Position
628.72,591.6,845.63,702.0,Ideal Position
621.89,594.53,793.84,726.43,Ideal Position
619.93,588.67,794.82,681.49,Ideal Position
634.59,610.16,632.63,485.1,Unknown
620.91,602.34,816.32,700.05,Ideal Position
623.84,597.46,796.78,712.75,Ideal Position
624.82,606.25,739.13,557.4,Ideal Position
627.75,500.73,911.09,0.49,Leaning Left
614.07,0.49,934.54,0.49,Leaning Left
0.49,0.49,820.22,0.49,Unknown
